# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2018-06-30T00:00:00.0
# Date end (ISO 8601): 2019-06-14T00:00:00.0
# Latitude (positive North, ISO 19115): 36.6440
# Longitude (positive East, ISO 19115): 113.6419
# Altitude (m): 614.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2024-11-16
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;
TOA; Clear_sky_GHI;Clear_sky_BHI;Clear_sky_DHI;Clear_sky_BNI;GHI;BHI;DHI;BNI;Reliability
2018-10-20T00:30:00.0/2018-10-20T00:45:00.0;125.9228;68.6418;28.4258;40.2160;77.4462;29.2668;0.6715;28.5953;1.7741;1.0000
2018-10-20T00:45:00.0/2018-10-20T01:00:00.0;139.7630;79.6469;35.1358;44.5111;86.2790;56.8352;8.3724;48.4628;20.4189;1.0000
2018-10-20T01:00:00.0/2018-10-20T01:15:00.0;152.8483;90.3433;41.9340;48.4093;94.1795;66.0353;10.3155;55.7198;23.2823;1.0000
2018-10-20T01:15:00.0/2018-10-20T01:30:00.0;165.1223;100.5877;48.6677;51.9200;101.1945;66.8979;6.5448;60.3532;13.6033;1.0000
2018-10-20T01:30:00.0/2018-10-20T01:45:00.0;176.5325;110.2635;55.2057;55.0578;107.3821;73.4368;7.8544;65.5824;15.3143;1.0000
2018-10-20T01:45:00.0/2018-10-20T02:00:00.0;187.0300;119.2746;61.4351;57.8395;112.8015;60.9882;4.7985;56.1897;8.8628;1.0000
2018-10-20T02:00:00.0/2018-10-20T02:15:00.0;196.5696;127.5408;67.2588;60.2820;117.5087;53.1653;1.7346;51.4307;3.0078;1.0000
2018-10-20T02:15:00.0/2018-10-20T02:30:00.0;205.1107;134.9952;72.5934;62.4018;121.5537;69.8845;4.6974;65.1871;7.8450;1.0000
2018-10-20T02:30:00.0/2018-10-20T02:45:00.0;212.6164;141.5820;77.3680;64.2139;124.9800;76.0079;6.4248;69.5831;10.3940;0.7000
2018-10-20T02:45:00.0/2018-10-20T03:00:00.0;219.0545;147.2543;81.5226;65.7318;127.8245;65.7737;2.7907;62.9830;4.3907;0.9667
2018-10-20T03:00:00.0/2018-10-20T03:15:00.0;224.3975;151.9017;84.8067;67.0950;129.8119;39.8279;0.0987;39.7292;0.1520;1.0000
2018-10-20T03:15:00.0/2018-10-20T03:30:00.0;228.6224;155.4936;87.1688;68.3248;130.9640;29.6701;0.0016;29.6685;0.0024;1.0000
2018-10-20T03:30:00.0/2018-10-20T03:45:00.0;231.7111;158.0789;88.7782;69.3006;131.6057;27.6313;0.0021;27.6291;0.0031;1.0000
2018-10-20T03:45:00.0/2018-10-20T04:00:00.0;233.6502;159.6409;89.6199;70.0210;131.7519;23.9003;0.0000;23.9003;0.0000;1.0000
2018-10-20T04:00:00.0/2018-10-20T04:15:00.0;234.4315;160.1694;89.6872;70.4822;131.4123;18.1933;0.0015;18.1918;0.0022;1.0000
2018-10-20T04:15:00.0/2018-10-20T04:30:00.0;234.0514;159.6604;88.9821;70.6783;130.5911;35.9839;0.0219;35.9620;0.0321;1.0000
2018-10-20T04:30:00.0/2018-10-20T04:45:00.0;232.5117;158.1163;87.5147;70.6016;129.2880;44.6033;0.1886;44.4147;0.2791;1.0000
2018-10-20T04:45:00.0/2018-10-20T05:00:00.0;229.8190;155.5460;85.3038;70.2422;127.4979;55.4466;0.4431;55.0036;0.6621;1.0000
2018-10-20T05:00:00.0/2018-10-20T05:15:00.0;225.9845;151.9651;82.3768;69.5883;125.2111;62.8119;2.2276;60.5843;3.3950;1.0000
2018-10-20T05:15:00.0/2018-10-20T05:30:00.0;221.0248;147.3963;78.7701;68.6261;122.4140;29.2603;0.5269;28.7334;0.8118;1.0000
2018-10-20T05:30:00.0/2018-10-20T05:45:00.0;214.9611;141.8695;74.5293;67.3402;119.0883;16.2334;0.0000;16.2334;0.0000;1.0000
2018-10-20T05:45:00.0/2018-10-20T06:00:00.0;207.8192;135.4230;69.7098;65.7132;115.2119;25.2277;0.0004;25.2273;0.0006;1.0000
2018-10-20T06:00:00.0/2018-10-20T06:15:00.0;199.6299;128.0717;64.3138;63.7579;110.6489;26.8933;0.0007;26.8926;0.0012;1.0000
2018-10-20T06:15:00.0/2018-10-20T06:30:00.0;190.4280;119.8738;58.4281;61.4457;105.3743;21.1914;0.0001;21.1913;0.0001;1.0000
2018-10-20T06:30:00.0/2018-10-20T06:45:00.0;180.2531;110.9318;52.2120;58.7197;99.4713;15.5613;0.0000;15.5613;0.0000;1.0000
2018-10-20T06:45:00.0/2018-10-20T07:00:00.0;169.1485;101.3299;45.7701;55.5598;92.9128;10.0020;0.0000;10.0020;0.0000;1.0000
2018-10-20T07:00:00.0/2018-10-20T07:15:00.0;157.1620;91.1697;39.2206;51.9490;85.6766;6.9052;0.0000;6.9052;0.0000;1.0000
2018-10-20T07:15:00.0/2018-10-20T07:30:00.0;144.3447;80.5740;32.6971;47.8769;77.7510;17.6290;0.0069;17.6221;0.0168;1.0000
2018-10-20T07:30:00.0/2018-10-20T07:45:00.0;130.7516;69.6922;26.3481;43.3442;69.1441;21.6767;0.0109;21.6658;0.0280;1.0000
2018-10-20T07:45:00.0/2018-10-20T08:00:00.0;116.4408;58.7050;20.3369;38.3681;59.8978;21.7803;0.1948;21.5855;0.5974;1.0000
2018-10-20T08:00:00.0/2018-10-20T08:15:00.0;101.4736;47.8291;14.8383;32.9908;50.1074;20.3405;0.2856;20.0549;0.9325;1.0000
2018-10-20T08:15:00.0/2018-10-20T08:30:00.0;85.9141;37.3181;10.0301;27.2879;39.9480;13.1777;0.0014;13.1763;0.0061;1.0000
2018-10-20T08:30:00.0/2018-10-20T08:45:00.0;69.8288;27.4569;6.0788;21.3781;29.7075;10.5394;0.0018;10.5376;0.0084;1.0000
2018-10-20T08:45:00.0/2018-10-20T09:00:00.0;53.2867;18.5462;3.1134;15.4328;19.8230;3.1321;0.0000;3.1321;0.0000;1.0000
2018-10-20T09:00:00.0/2018-10-20T09:15:00.0;36.3586;10.8905;1.1959;9.6946;10.9841;3.8804;0.0000;3.8804;0.0000;1.0000
2018-10-20T09:15:00.0/2018-10-20T09:30:00.0;19.1169;4.7392;0.2410;4.4981;3.8805;2.2692;0.0000;2.2692;0.0000;0.5333
2018-10-20T09:30:00.0/2018-10-20T09:45:00.0;3.0599;0.6155;0.0043;0.6113;0.1459;0.2947;0.0000;0.2947;0.0000;0.7000
2018-10-20T09:45:00.0/2018-10-20T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T10:00:00.0/2018-10-20T10:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T10:15:00.0/2018-10-20T10:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T10:30:00.0/2018-10-20T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T10:45:00.0/2018-10-20T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T11:00:00.0/2018-10-20T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T11:15:00.0/2018-10-20T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T11:30:00.0/2018-10-20T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T11:45:00.0/2018-10-20T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T12:00:00.0/2018-10-20T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T12:15:00.0/2018-10-20T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T12:30:00.0/2018-10-20T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T12:45:00.0/2018-10-20T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T13:00:00.0/2018-10-20T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T13:15:00.0/2018-10-20T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T13:30:00.0/2018-10-20T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T13:45:00.0/2018-10-20T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T14:00:00.0/2018-10-20T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T14:15:00.0/2018-10-20T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T14:30:00.0/2018-10-20T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T14:45:00.0/2018-10-20T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T15:00:00.0/2018-10-20T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T15:15:00.0/2018-10-20T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T15:30:00.0/2018-10-20T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T15:45:00.0/2018-10-20T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T16:00:00.0/2018-10-20T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T16:15:00.0/2018-10-20T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T16:30:00.0/2018-10-20T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T16:45:00.0/2018-10-20T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T17:00:00.0/2018-10-20T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T17:15:00.0/2018-10-20T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T17:30:00.0/2018-10-20T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T17:45:00.0/2018-10-20T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T18:00:00.0/2018-10-20T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T18:15:00.0/2018-10-20T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T18:30:00.0/2018-10-20T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T18:45:00.0/2018-10-20T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T19:00:00.0/2018-10-20T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T19:15:00.0/2018-10-20T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T19:30:00.0/2018-10-20T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T19:45:00.0/2018-10-20T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T20:00:00.0/2018-10-20T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T20:15:00.0/2018-10-20T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T20:30:00.0/2018-10-20T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T20:45:00.0/2018-10-20T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T21:00:00.0/2018-10-20T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T21:15:00.0/2018-10-20T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T21:30:00.0/2018-10-20T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T21:45:00.0/2018-10-20T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T22:00:00.0/2018-10-20T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T22:15:00.0/2018-10-20T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-20T22:30:00.0/2018-10-20T22:45:00.0;0.2957;0.0532;0.0000;0.0531;0.0000;0.0071;0.0000;0.0071;0.0000;0.9333
2018-10-20T22:45:00.0/2018-10-20T23:00:00.0;12.1157;2.7244;0.0715;2.6529;1.5195;0.3662;0.0000;0.3662;0.0000;0.5000
2018-10-20T23:00:00.0/2018-10-20T23:15:00.0;29.4189;8.1144;0.6431;7.4713;7.1784;1.0906;0.0000;1.0906;0.0000;0.5000
2018-10-20T23:15:00.0/2018-10-20T23:30:00.0;46.4347;15.0785;2.0531;13.0254;14.9375;3.4456;0.0000;3.4456;0.0000;0.9667
2018-10-20T23:30:00.0/2018-10-20T23:45:00.0;63.0900;23.3617;4.4320;18.9297;23.9374;12.2437;0.0167;12.2270;0.0870;1.0000
2018-10-20T23:45:00.0/2018-10-21T00:00:00.0;79.3135;32.6927;7.7745;24.9182;33.5225;9.2111;0.0179;9.1932;0.0761;1.0000
2018-10-21T00:00:00.0/2018-10-21T00:15:00.0;95.0355;42.7289;11.9232;30.8057;42.9905;24.4981;0.2014;24.2967;0.7097;1.0000
2018-10-21T00:15:00.0/2018-10-21T00:30:00.0;110.1888;53.1602;16.6822;36.4780;51.9301;33.4011;0.9942;32.4069;3.0776;1.0000
2018-10-21T00:30:00.0/2018-10-21T00:45:00.0;124.7083;63.7728;21.9223;41.8505;60.3337;43.1586;3.2061;39.9525;8.7445;1.0000
2018-10-21T00:45:00.0/2018-10-21T01:00:00.0;138.5318;74.3475;27.4792;46.8683;68.1072;37.9763;1.4128;36.5635;3.5739;1.0000
2018-10-21T01:00:00.0/2018-10-21T01:15:00.0;151.6001;84.6988;33.1988;51.5000;75.2103;34.2658;0.1715;34.0943;0.3878;1.0000
2018-10-21T01:15:00.0/2018-10-21T01:30:00.0;163.8570;94.6723;38.9411;55.7312;81.6352;44.4442;1.7891;42.6551;3.6843;1.0000
2018-10-21T01:30:00.0/2018-10-21T01:45:00.0;175.2501;104.1392;44.5806;59.5587;87.3934;75.1432;13.2403;61.9029;25.8125;1.0000
2018-10-21T01:45:00.0/2018-10-21T02:00:00.0;185.7305;112.9926;50.0059;62.9866;92.5064;91.3230;20.9356;70.3874;38.7478;1.0000
2018-10-21T02:00:00.0/2018-10-21T02:15:00.0;195.2532;121.1428;55.1195;66.0233;97.0001;97.1119;21.6024;75.5094;37.9812;1.0000
2018-10-21T02:15:00.0/2018-10-21T02:30:00.0;203.7774;128.5148;59.8361;68.6788;100.9012;115.1981;39.1898;76.0083;66.0340;1.0000
2018-10-21T02:30:00.0/2018-10-21T02:45:00.0;211.2665;135.0460;64.0822;70.9638;104.2354;126.1614;49.6464;76.5150;80.6862;0.7000
2018-10-21T02:45:00.0/2018-10-21T03:00:00.0;217.6884;140.6841;67.7954;72.8887;107.0257;134.8714;58.4001;76.4713;92.2723;0.9667
2018-10-21T03:00:00.0/2018-10-21T03:15:00.0;223.0155;145.1798;70.4574;74.7224;108.5765;124.8394;37.5855;87.2538;57.9252;1.0000
2018-10-21T03:15:00.0/2018-10-21T03:30:00.0;227.2249;148.4961;72.0004;76.4957;108.9005;125.7974;35.8071;89.9903;54.1638;1.0000
2018-10-21T03:30:00.0/2018-10-21T03:45:00.0;230.2987;150.8131;72.8573;77.9558;108.7270;122.6793;29.7052;92.9740;44.3468;1.0000
2018-10-21T03:45:00.0/2018-10-21T04:00:00.0;232.2234;152.1135;73.0207;79.0929;108.0682;110.8052;17.2916;93.5136;25.5914;1.0000
2018-10-21T04:00:00.0/2018-10-21T04:15:00.0;232.9910;152.3868;72.4916;79.8952;106.9321;135.9900;49.0032;86.9868;72.2778;1.0000
2018-10-21T04:15:00.0/2018-10-21T04:30:00.0;232.5981;151.6294;71.2804;80.3490;105.3229;129.6473;38.0957;91.5517;56.2892;1.0000
2018-10-21T04:30:00.0/2018-10-21T04:45:00.0;231.0462;149.8446;69.4059;80.4387;103.2414;139.7594;52.0832;87.6763;77.4807;1.0000
2018-10-21T04:45:00.0/2018-10-21T05:00:00.0;228.3420;147.0432;66.8963;80.1470;100.6858;135.4715;48.3694;87.1021;72.8317;1.0000
2018-10-21T05:00:00.0/2018-10-21T05:15:00.0;224.4970;143.2436;63.7891;79.4545;97.6519;143.1433;63.6319;79.5114;97.4134;1.0000
2018-10-21T05:15:00.0/2018-10-21T05:30:00.0;219.5277;138.4722;60.1314;78.3408;94.1340;138.4722;60.1314;78.3408;94.1340;1.0000
2018-10-21T05:30:00.0/2018-10-21T05:45:00.0;213.4554;132.7646;55.9804;76.7842;90.1258;120.2702;39.3986;80.8716;63.2726;1.0000
2018-10-21T05:45:00.0/2018-10-21T06:00:00.0;206.3059;126.1658;51.4037;74.7621;85.6216;96.1837;15.7795;80.4042;26.2377;1.0000
2018-10-21T06:00:00.0/2018-10-21T06:15:00.0;198.1099;118.6895;46.4300;72.2595;80.5309;90.5241;15.6256;74.8986;27.1543;1.0000
2018-10-21T06:15:00.0/2018-10-21T06:30:00.0;188.9026;110.4083;41.1571;69.2512;74.8582;60.6874;4.4492;56.2381;8.0463;1.0000
2018-10-21T06:30:00.0/2018-10-21T06:45:00.0;178.7231;101.4518;35.7422;65.7097;68.7039;47.9772;2.1616;45.8156;4.0986;1.0000
2018-10-21T06:45:00.0/2018-10-21T07:00:00.0;167.6152;91.9275;30.3151;61.6124;62.1242;22.7896;0.0053;22.7843;0.0106;1.0000
2018-10-21T07:00:00.0/2018-10-21T07:15:00.0;155.6264;82.0373;25.2368;56.8005;55.6936;25.3566;0.0228;25.3338;0.0509;1.0000
2018-10-21T07:15:00.0/2018-10-21T07:30:00.0;142.8080;71.8821;20.4350;51.4472;49.1306;21.6509;0.0074;21.6435;0.0174;1.0000
2018-10-21T07:30:00.0/2018-10-21T07:45:00.0;129.2149;61.6030;15.9302;45.6728;42.3117;35.5924;3.8103;31.7822;10.3064;1.0000
2018-10-21T07:45:00.0/2018-10-21T08:00:00.0;114.9053;51.3959;11.8442;39.5517;35.3549;17.1670;1.3264;15.8406;3.9155;1.0000
2018-10-21T08:00:00.0/2018-10-21T08:15:00.0;99.9404;41.4797;8.2879;33.1918;28.4161;16.1605;0.7382;15.4223;2.4612;1.0000
2018-10-21T08:15:00.0/2018-10-21T08:30:00.0;84.3843;32.0863;5.3502;26.7362;21.6901;15.7718;0.4627;15.3091;1.8631;1.0000
2018-10-21T08:30:00.0/2018-10-21T08:45:00.0;68.3036;23.4445;3.0848;20.3598;15.4042;3.2016;0.0033;3.1983;0.0149;1.0000
2018-10-21T08:45:00.0/2018-10-21T09:00:00.0;51.7670;15.7572;1.4967;14.2605;9.7985;5.3421;0.0004;5.3417;0.0031;1.0000
2018-10-21T09:00:00.0/2018-10-21T09:15:00.0;34.8455;9.1932;0.5358;8.6574;5.1156;7.6782;0.2367;7.4415;2.5055;1.0000
2018-10-21T09:15:00.0/2018-10-21T09:30:00.0;17.6115;3.8850;0.0892;3.7959;1.4947;3.8850;0.0892;3.7959;1.4947;0.5333
2018-10-21T09:30:00.0/2018-10-21T09:45:00.0;2.2508;0.4076;0.0005;0.4071;0.0143;0.4076;0.0005;0.4071;0.0143;0.7333
2018-10-21T09:45:00.0/2018-10-21T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T10:00:00.0/2018-10-21T10:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T10:15:00.0/2018-10-21T10:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T10:30:00.0/2018-10-21T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T10:45:00.0/2018-10-21T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T11:00:00.0/2018-10-21T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T11:15:00.0/2018-10-21T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T11:30:00.0/2018-10-21T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T11:45:00.0/2018-10-21T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T12:00:00.0/2018-10-21T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T12:15:00.0/2018-10-21T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T12:30:00.0/2018-10-21T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T12:45:00.0/2018-10-21T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T13:00:00.0/2018-10-21T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T13:15:00.0/2018-10-21T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T13:30:00.0/2018-10-21T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T13:45:00.0/2018-10-21T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T14:00:00.0/2018-10-21T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T14:15:00.0/2018-10-21T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T14:30:00.0/2018-10-21T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T14:45:00.0/2018-10-21T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T15:00:00.0/2018-10-21T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T15:15:00.0/2018-10-21T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T15:30:00.0/2018-10-21T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T15:45:00.0/2018-10-21T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-10-21T16:00:00.0/2018-10-21T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
